mean_values, std_dev_values, skewness_values, kurtosis_values, rms_values, zc_rate_values, spectral_centroid_values, spectral_bandwidth_values, spectral_skewness_values, spectral_kurtosis_values, mean_rr_intervals, sdnn_values, rmssd_values, Category
-0.002801921,0.143751621,4.040592704,22.47393213,0.143772937,0.004333694,199.9407013,193.6035158,28.27451082,1098.083843,0.157888889,0.391425809,0.595809974,0
-0.002416789,0.10938695,4.799911429,32.37571608,0.109409089,0.003666972,199.919071,192.6239852,20.42500526,676.1872222,0.180128205,0.471227874,0.712476032,0
-0.002301229,0.114333835,2.034568985,8.636534614,0.114352228,0.003666972,199.9356659,193.4481383,12.54131279,229.1114651,0.105589286,0.275653933,0.416294565,0
-0.001898397,0.187243015,1.817680057,10.2711012,0.187244836,0.007000583,199.9961082,193.0827743,19.93807256,520.6485826,0.120372984,0.270390868,0.417280513,0
-0.002183431,0.10729941,4.517191465,29.97546712,0.107317153,0.003666972,199.9338725,192.6910506,20.13578113,570.5581301,0.185957792,0.48209605,0.729785368,0
0.003680013,0.148595127,3.811116672,23.55002413,0.148634499,0.005167097,199.8940581,191.3445418,10.90225767,158.7459963,0.150963542,0.350583539,0.53863836,0
-0.001890259,0.116443379,4.590804895,29.93647814,0.116453869,0.003833653,199.9639692,192.5011072,21.12937497,714.7820527,0.175853293,0.463956659,0.70069705,0
-0.002339884,0.20229496,4.610276127,27.45625165,0.202300063,0.005583799,199.9899095,190.3953959,16.11234047,368.0409276,0.142803398,0.33284518,0.511012684,0
-0.004558106,0.137541289,2.602181217,14.61073617,0.137611068,0.003666972,199.7972218,195.327877,36.42280746,1728.697197,0.186257962,0.492950271,0.744289478,0
0.003375651,0.328709239,2.985846328,13.95504161,0.328712875,0.007167264,199.9955746,192.9874126,22.33387445,711.0120868,0.088231343,0.232268305,0.350201183,0
-0.001971436,0.122498162,3.306376322,20.67470298,0.122508921,0.003666972,199.9648721,193.8012314,57.5806599,3925.197294,0.178108974,0.463253864,0.700915991,0
-0.002023315,0.119000877,1.933454589,8.120742478,0.119013119,0.004500375,199.958858,194.1369291,15.03616757,324.4927573,0.126140351,0.313757802,0.477070724,0
0.000651449,0.319039226,3.521449069,16.71986734,0.319026597,0.006667222,200.015834,192.8195697,25.2190884,814.3320742,0.094320388,0.24709502,0.372865407,0
-0.001927694,0.120167718,2.227654706,9.40354953,0.120178172,0.005333778,199.9652055,193.4180244,11.46710861,176.3721887,0.114871032,0.288424174,0.437872266,0
-0.000921021,0.190402511,3.776029065,20.03755437,0.190396805,0.006667222,200.0119876,191.0796712,14.52129,319.4775051,0.116472332,0.270993783,0.41588188,0
-0.001921794,0.121360242,4.226638294,26.84006862,0.121370402,0.003833653,199.96652,193.0923969,27.01200039,935.4018713,0.169412651,0.447166324,0.675257583,0
-0.001924235,0.176515908,2.091575794,9.499998504,0.176519041,0.005667139,199.9928997,193.7911892,34.24994735,1343.644018,0.134209302,0.319878431,0.489388625,0
-0.002973633,0.17119205,3.938857651,22.92071434,0.171210742,0.005500458,199.9563317,191.5896851,9.636360856,122.6148522,0.14276699,0.35211485,0.536200841,0
0.001786296,0.31793443,3.280753801,14.86126312,0.3179262,0.007500625,200.0103538,192.7553381,14.15803633,310.8241138,0.083919492,0.231991733,0.347758759,0
0.000899251,0.312259333,3.552050259,17.21541429,0.312247616,0.006333861,200.0150091,192.8968008,24.30874681,869.6810311,0.097792642,0.263548279,0.396405991,0
-0.002935994,0.108189283,1.638607318,6.959465121,0.108224607,0.001333444,199.8694624,192.6144639,11.46862386,189.2335878,0.130349099,0.285773375,0.442912576,0
